id,category,question,ground_truth,reference_context
core-013,core,How do I pass build parameters to a Jenkins pipeline job?,"Define parameters in the job or Jenkinsfile, then read them from the params object during execution.","Define parameters in the job or Jenkinsfile, then read them from the params object during execution."
core-014,core,What is a multibranch pipeline job?,A multibranch pipeline automatically discovers branches and pull requests and runs each using its branch Jenkinsfile.,A multibranch pipeline automatically discovers branches and pull requests and runs each using its branch Jenkinsfile.
core-015,core,How do webhooks help Jenkins jobs start faster?,"Webhooks push events from the SCM provider to Jenkins immediately, avoiding slow polling intervals.","Webhooks push events from the SCM provider to Jenkins immediately, avoiding slow polling intervals."
core-016,core,What does archiveArtifacts do?,archiveArtifacts stores selected files from the workspace as build artifacts for later download or traceability.,archiveArtifacts stores selected files from the workspace as build artifacts for later download or traceability.
core-017,core,How do I publish test results in Jenkins pipeline?,Use junit or related publishers to collect test reports and show pass/fail trends in Jenkins.,Use junit or related publishers to collect test reports and show pass/fail trends in Jenkins.
core-018,core,What is a shared library in Jenkins?,A shared library centralizes reusable pipeline functions and classes so teams avoid copy-pasting Jenkinsfile logic.,A shared library centralizes reusable pipeline functions and classes so teams avoid copy-pasting Jenkinsfile logic.
core-019,core,How do I control where a stage runs?,Set agent labels or agent directives so Jenkins schedules the stage on matching nodes.,Set agent labels or agent directives so Jenkins schedules the stage on matching nodes.
core-020,core,What is the purpose of buildDiscarder?,buildDiscarder limits old builds and artifacts retention to control disk usage.,buildDiscarder limits old builds and artifacts retention to control disk usage.
core-021,core,What does input step do in pipeline?,The input step pauses pipeline execution and waits for manual approval or parameter input.,The input step pauses pipeline execution and waits for manual approval or parameter input.
core-022,core,How do I trigger one job from another in Jenkins?,Use build steps or pipeline build job calls to start downstream jobs with optional parameters.,Use build steps or pipeline build job calls to start downstream jobs with optional parameters.
core-023,core,Why use fingerprints in Jenkins?,Fingerprints track artifacts across jobs and builds so you can trace where files were produced and consumed.,Fingerprints track artifacts across jobs and builds so you can trace where files were produced and consumed.
core-024,core,How can I run steps only on the main branch?,"Use when conditions in Declarative Pipeline, such as when { branch 'main' }, to gate stage execution.","Use when conditions in Declarative Pipeline, such as when { branch 'main' }, to gate stage execution."
core-025,core,What does skipDefaultCheckout do?,skipDefaultCheckout disables automatic SCM checkout so the pipeline can perform custom checkout behavior.,skipDefaultCheckout disables automatic SCM checkout so the pipeline can perform custom checkout behavior.
core-026,core,How do I clean workspace before or after builds?,Use workspace cleanup patterns or explicit delete steps to remove previous build files and avoid contamination.,Use workspace cleanup patterns or explicit delete steps to remove previous build files and avoid contamination.
core-027,core,What is quiet down mode in Jenkins?,"Quiet down stops new builds from starting while allowing running builds to finish, useful before maintenance.","Quiet down stops new builds from starting while allowing running builds to finish, useful before maintenance."
core-028,core,What is safe restart in Jenkins?,"Safe restart restarts Jenkins after active builds complete, reducing disruption.","Safe restart restarts Jenkins after active builds complete, reducing disruption."
core-029,core,How can I protect Jenkins with role-based permissions?,Use authorization strategy plugins to assign permissions to groups and limit admin rights to trusted users.,Use authorization strategy plugins to assign permissions to groups and limit admin rights to trusted users.
core-030,core,What does node block mean in Scripted Pipeline?,A node block allocates an executor and workspace on a matching agent for the enclosed steps.,A node block allocates an executor and workspace on a matching agent for the enclosed steps.
core-031,core,How do I schedule builds with cron in Jenkins?,Configure cron expressions in build triggers or pipeline triggers so jobs run on schedule.,Configure cron expressions in build triggers or pipeline triggers so jobs run on schedule.
core-032,core,What is the purpose of workspace in Jenkins?,Workspace is the directory where Jenkins checks out source code and executes build steps.,Workspace is the directory where Jenkins checks out source code and executes build steps.
core-033,core,How do I prevent SCM credentials from leaking in logs?,Use credentials masking and avoid echoing secret variables directly in shell commands.,Use credentials masking and avoid echoing secret variables directly in shell commands.
core-034,core,How should I store Jenkins configuration for repeatable setup?,Use configuration as code and source-controlled job definitions to make setup reproducible.,Use configuration as code and source-controlled job definitions to make setup reproducible.
core-035,core,What does currentBuild.result control?,"currentBuild.result sets or reads build status, such as SUCCESS, UNSTABLE, or FAILURE.","currentBuild.result sets or reads build status, such as SUCCESS, UNSTABLE, or FAILURE."
core-036,core,How do I make pipeline logs easier to read?,"Use clear stage names, concise shell output, and log formatting plugins like timestamps and ANSI color.","Use clear stage names, concise shell output, and log formatting plugins like timestamps and ANSI color."
plugins-001,plugins,What is the main purpose of the Git plugin in Jenkins?,The Git plugin integrates Jenkins with Git repositories for checkout and polling. It is typically installed from Manage Jenkins > Plugins.,The Git plugin integrates Jenkins with Git repositories for checkout and polling. It is typically installed from Manage Jenkins > Plugins.
plugins-002,plugins,What are the first setup steps for the Git plugin?,"After installing the Git plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Git plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-003,plugins,What is the main purpose of the GitHub plugin in Jenkins?,"The GitHub plugin integrates Jenkins with GitHub metadata, webhooks, and status reporting. It is typically installed from Manage Jenkins > Plugins.","The GitHub plugin integrates Jenkins with GitHub metadata, webhooks, and status reporting. It is typically installed from Manage Jenkins > Plugins."
plugins-004,plugins,What are the first setup steps for the GitHub plugin?,"After installing the GitHub plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the GitHub plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-005,plugins,What is the main purpose of the GitLab plugin in Jenkins?,The GitLab plugin integrates Jenkins with GitLab webhooks and commit status updates. It is typically installed from Manage Jenkins > Plugins.,The GitLab plugin integrates Jenkins with GitLab webhooks and commit status updates. It is typically installed from Manage Jenkins > Plugins.
plugins-006,plugins,What are the first setup steps for the GitLab plugin?,"After installing the GitLab plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the GitLab plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-007,plugins,What is the main purpose of the Slack Notification plugin in Jenkins?,The Slack Notification plugin sends Jenkins build notifications to Slack channels. It is typically installed from Manage Jenkins > Plugins.,The Slack Notification plugin sends Jenkins build notifications to Slack channels. It is typically installed from Manage Jenkins > Plugins.
plugins-008,plugins,What are the first setup steps for the Slack Notification plugin?,"After installing the Slack Notification plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Slack Notification plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-009,plugins,What is the main purpose of the Email Extension plugin in Jenkins?,The Email Extension plugin adds flexible email notifications and templates for build results. It is typically installed from Manage Jenkins > Plugins.,The Email Extension plugin adds flexible email notifications and templates for build results. It is typically installed from Manage Jenkins > Plugins.
plugins-010,plugins,What are the first setup steps for the Email Extension plugin?,"After installing the Email Extension plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Email Extension plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-011,plugins,What is the main purpose of the Docker plugin in Jenkins?,The Docker plugin allows Jenkins to start ephemeral agents in Docker environments. It is typically installed from Manage Jenkins > Plugins.,The Docker plugin allows Jenkins to start ephemeral agents in Docker environments. It is typically installed from Manage Jenkins > Plugins.
plugins-012,plugins,What are the first setup steps for the Docker plugin?,"After installing the Docker plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Docker plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-013,plugins,What is the main purpose of the Kubernetes plugin in Jenkins?,The Kubernetes plugin provisions Jenkins agents as Kubernetes pods on demand. It is typically installed from Manage Jenkins > Plugins.,The Kubernetes plugin provisions Jenkins agents as Kubernetes pods on demand. It is typically installed from Manage Jenkins > Plugins.
plugins-014,plugins,What are the first setup steps for the Kubernetes plugin?,"After installing the Kubernetes plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Kubernetes plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-015,plugins,What is the main purpose of the Job DSL plugin in Jenkins?,The Job DSL plugin generates Jenkins jobs from Groovy DSL scripts. It is typically installed from Manage Jenkins > Plugins.,The Job DSL plugin generates Jenkins jobs from Groovy DSL scripts. It is typically installed from Manage Jenkins > Plugins.
plugins-016,plugins,What are the first setup steps for the Job DSL plugin?,"After installing the Job DSL plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Job DSL plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-017,plugins,What is the main purpose of the Configuration as Code plugin in Jenkins?,The Configuration as Code plugin defines Jenkins global configuration through YAML files. It is typically installed from Manage Jenkins > Plugins.,The Configuration as Code plugin defines Jenkins global configuration through YAML files. It is typically installed from Manage Jenkins > Plugins.
plugins-018,plugins,What are the first setup steps for the Configuration as Code plugin?,"After installing the Configuration as Code plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Configuration as Code plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-019,plugins,What is the main purpose of the Blue Ocean plugin in Jenkins?,The Blue Ocean plugin provides a modern pipeline visualization and editing interface. It is typically installed from Manage Jenkins > Plugins.,The Blue Ocean plugin provides a modern pipeline visualization and editing interface. It is typically installed from Manage Jenkins > Plugins.
plugins-020,plugins,What are the first setup steps for the Blue Ocean plugin?,"After installing the Blue Ocean plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Blue Ocean plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-021,plugins,What is the main purpose of the Matrix Authorization Strategy plugin in Jenkins?,The Matrix Authorization Strategy plugin enables matrix-based permission assignment. It is typically installed from Manage Jenkins > Plugins.,The Matrix Authorization Strategy plugin enables matrix-based permission assignment. It is typically installed from Manage Jenkins > Plugins.
plugins-022,plugins,What are the first setup steps for the Matrix Authorization Strategy plugin?,"After installing the Matrix Authorization Strategy plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Matrix Authorization Strategy plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-023,plugins,What is the main purpose of the Role-based Authorization Strategy plugin in Jenkins?,The Role-based Authorization Strategy plugin adds role-based access control for global and item permissions. It is typically installed from Manage Jenkins > Plugins.,The Role-based Authorization Strategy plugin adds role-based access control for global and item permissions. It is typically installed from Manage Jenkins > Plugins.
plugins-024,plugins,What are the first setup steps for the Role-based Authorization Strategy plugin?,"After installing the Role-based Authorization Strategy plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Role-based Authorization Strategy plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-025,plugins,What is the main purpose of the Warnings Next Generation plugin in Jenkins?,The Warnings Next Generation plugin aggregates static analysis findings and trends. It is typically installed from Manage Jenkins > Plugins.,The Warnings Next Generation plugin aggregates static analysis findings and trends. It is typically installed from Manage Jenkins > Plugins.
plugins-026,plugins,What are the first setup steps for the Warnings Next Generation plugin?,"After installing the Warnings Next Generation plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Warnings Next Generation plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-027,plugins,What is the main purpose of the JUnit plugin in Jenkins?,The JUnit plugin publishes JUnit-compatible test results in Jenkins. It is typically installed from Manage Jenkins > Plugins.,The JUnit plugin publishes JUnit-compatible test results in Jenkins. It is typically installed from Manage Jenkins > Plugins.
plugins-028,plugins,What are the first setup steps for the JUnit plugin?,"After installing the JUnit plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the JUnit plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-029,plugins,What is the main purpose of the SSH Build Agents plugin in Jenkins?,The SSH Build Agents plugin connects and manages agents over SSH. It is typically installed from Manage Jenkins > Plugins.,The SSH Build Agents plugin connects and manages agents over SSH. It is typically installed from Manage Jenkins > Plugins.
plugins-030,plugins,What are the first setup steps for the SSH Build Agents plugin?,"After installing the SSH Build Agents plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the SSH Build Agents plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-031,plugins,What is the main purpose of the Copy Artifact plugin in Jenkins?,The Copy Artifact plugin copies artifacts from one job build to another. It is typically installed from Manage Jenkins > Plugins.,The Copy Artifact plugin copies artifacts from one job build to another. It is typically installed from Manage Jenkins > Plugins.
plugins-032,plugins,What are the first setup steps for the Copy Artifact plugin?,"After installing the Copy Artifact plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Copy Artifact plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-033,plugins,What is the main purpose of the Build Timeout plugin in Jenkins?,The Build Timeout plugin enforces timeout policies for freestyle jobs and wrappers. It is typically installed from Manage Jenkins > Plugins.,The Build Timeout plugin enforces timeout policies for freestyle jobs and wrappers. It is typically installed from Manage Jenkins > Plugins.
plugins-034,plugins,What are the first setup steps for the Build Timeout plugin?,"After installing the Build Timeout plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Build Timeout plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-035,plugins,What is the main purpose of the Workspace Cleanup plugin in Jenkins?,The Workspace Cleanup plugin removes workspace files using configurable cleanup rules. It is typically installed from Manage Jenkins > Plugins.,The Workspace Cleanup plugin removes workspace files using configurable cleanup rules. It is typically installed from Manage Jenkins > Plugins.
plugins-036,plugins,What are the first setup steps for the Workspace Cleanup plugin?,"After installing the Workspace Cleanup plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Workspace Cleanup plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-037,plugins,What is the main purpose of the AnsiColor plugin in Jenkins?,The AnsiColor plugin renders ANSI color codes in Jenkins console output. It is typically installed from Manage Jenkins > Plugins.,The AnsiColor plugin renders ANSI color codes in Jenkins console output. It is typically installed from Manage Jenkins > Plugins.
plugins-038,plugins,What are the first setup steps for the AnsiColor plugin?,"After installing the AnsiColor plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the AnsiColor plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
plugins-039,plugins,What is the main purpose of the Timestamper plugin in Jenkins?,The Timestamper plugin adds timestamps to build console logs. It is typically installed from Manage Jenkins > Plugins.,The Timestamper plugin adds timestamps to build console logs. It is typically installed from Manage Jenkins > Plugins.
plugins-040,plugins,What are the first setup steps for the Timestamper plugin?,"After installing the Timestamper plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed.","After installing the Timestamper plugin, configure it in Manage Jenkins settings or the job configuration, then reference it from your pipeline or freestyle job as needed."
errors-001,errors,How should I handle 'No such DSL method' errors in a Jenkins pipeline?,This error usually means the step name is wrong or a required plugin is missing. Verify spelling and confirm the plugin providing the step is installed.,This error usually means the step name is wrong or a required plugin is missing. Verify spelling and confirm the plugin providing the step is installed.
errors-002,errors,What does 'script not yet approved' mean in Jenkins?,It means script security blocked unapproved Groovy. An administrator must approve the signature or refactor to approved pipeline steps.,It means script security blocked unapproved Groovy. An administrator must approve the signature or refactor to approved pipeline steps.
errors-003,errors,How do I troubleshoot 'Permission denied' in Jenkins workspace?,"Check filesystem ownership and agent user permissions on the workspace path, then retry after correcting access rights.","Check filesystem ownership and agent user permissions on the workspace path, then retry after correcting access rights."
errors-004,errors,What causes 'Agent is offline' build failures?,"Jenkins cannot schedule steps because the selected node is disconnected, busy, or misconfigured. Restore connectivity or adjust labels.","Jenkins cannot schedule steps because the selected node is disconnected, busy, or misconfigured. Restore connectivity or adjust labels."
errors-005,errors,How do I fix Git checkout authentication failures in Jenkins?,"Validate repository credentials in Jenkins, ensure correct credential binding in the job, and verify SCM URL and access rights.","Validate repository credentials in Jenkins, ensure correct credential binding in the job, and verify SCM URL and access rights."
errors-006,errors,What should I check when Jenkins says 'No space left on device'?,"Free disk space on controller or agent, clean old builds/artifacts, and configure retention to prevent repeated disk exhaustion.","Free disk space on controller or agent, clean old builds/artifacts, and configure retention to prevent repeated disk exhaustion."
errors-007,errors,How do I investigate plugin dependency errors after upgrade?,"Review plugin manager dependency warnings, upgrade dependent plugins together, and avoid partial incompatible version sets.","Review plugin manager dependency warnings, upgrade dependent plugins together, and avoid partial incompatible version sets."
errors-008,errors,Why does Jenkins fail with Java version mismatch errors?,"The runtime or build tools require a different Java version. Align controller, agent, and toolchain Java versions.","The runtime or build tools require a different Java version. Align controller, agent, and toolchain Java versions."
errors-009,errors,How can I debug timeout failures in pipeline stages?,"Identify long-running steps in logs, tune timeout values, and optimize or split expensive operations.","Identify long-running steps in logs, tune timeout values, and optimize or split expensive operations."
errors-010,errors,What should I do when tests are not discovered by Jenkins?,Confirm test report paths match produced files and that the test publisher step runs after report generation.,Confirm test report paths match produced files and that the test publisher step runs after report generation.
errors-011,errors,How do I troubleshoot 'Host key verification failed' in Jenkins Git steps?,Configure known hosts or SSH host key verification strategy correctly for the Git server.,Configure known hosts or SSH host key verification strategy correctly for the Git server.
errors-012,errors,What does 'Cannot connect to Docker daemon' mean in Jenkins jobs?,"The job cannot access Docker socket or daemon endpoint. Check daemon availability, permissions, and environment configuration.","The job cannot access Docker socket or daemon endpoint. Check daemon availability, permissions, and environment configuration."
errors-013,errors,How do I fix pipeline failures caused by missing credentials IDs?,Create the credentials with the expected ID or update pipeline configuration to use an existing credential ID.,Create the credentials with the expected ID or update pipeline configuration to use an existing credential ID.
errors-014,errors,What causes Jenkins webhook builds not to trigger?,"Webhook URL, secret, or SCM event settings are wrong. Verify endpoint reachability and payload configuration.","Webhook URL, secret, or SCM event settings are wrong. Verify endpoint reachability and payload configuration."
errors-015,errors,How do I investigate random network-related build failures?,"Check external service availability, retry policies, DNS resolution, and proxy/firewall rules affecting agents.","Check external service availability, retry policies, DNS resolution, and proxy/firewall rules affecting agents."
errors-016,errors,What does an unstable build status usually indicate?,"The build completed but quality gates or tests reported issues, so status is UNSTABLE rather than FAILURE.","The build completed but quality gates or tests reported issues, so status is UNSTABLE rather than FAILURE."
errors-017,errors,How do I fix 'No such file or directory' in Jenkins shell steps?,"Ensure expected files exist in workspace, validate relative paths, and confirm checkout/build steps ran successfully.","Ensure expected files exist in workspace, validate relative paths, and confirm checkout/build steps ran successfully."
errors-018,errors,What should I check when Jenkins cannot archive artifacts?,Verify artifact patterns match actual files and that artifacts are produced before archive step executes.,Verify artifact patterns match actual files and that artifacts are produced before archive step executes.
errors-019,errors,How can I address flaky test failures in CI pipelines?,"Track flaky tests, add retries selectively, and improve test isolation rather than masking persistent failures.","Track flaky tests, add retries selectively, and improve test isolation rather than masking persistent failures."
errors-020,errors,How do I diagnose why a stage is skipped unexpectedly?,"Inspect when conditions, branch filters, and environment variables controlling stage execution.","Inspect when conditions, branch filters, and environment variables controlling stage execution."
errors-021,errors,What causes SCM polling to miss repository changes?,Polling credentials or repository settings may be incorrect; webhooks are generally more reliable for timely triggers.,Polling credentials or repository settings may be incorrect; webhooks are generally more reliable for timely triggers.
errors-022,errors,How do I troubleshoot long queue times in Jenkins?,"Check executor availability, node labels, resource contention, and throttling settings that delay scheduling.","Check executor availability, node labels, resource contention, and throttling settings that delay scheduling."
errors-023,errors,How do I debug intermittent agent disconnections?,"Review agent logs, network stability, JVM memory, and remoting configuration for recurring disconnect patterns.","Review agent logs, network stability, JVM memory, and remoting configuration for recurring disconnect patterns."
errors-024,errors,What should I do if Jenkins startup fails after plugin changes?,"Inspect startup logs for failing plugin classes, disable problematic plugin versions, and restart with compatible set.","Inspect startup logs for failing plugin classes, disable problematic plugin versions, and restart with compatible set."
errors-025,errors,How can I recover from corrupted Jenkins update center metadata?,Clear stale update center data and refresh plugin metadata from a healthy mirror or default source.,Clear stale update center data and refresh plugin metadata from a healthy mirror or default source.
errors-026,errors,What does 'RejectedAccessException' mean in pipeline logs?,Pipeline attempted a sandbox-restricted method. Use approved steps or request script approval where appropriate.,Pipeline attempted a sandbox-restricted method. Use approved steps or request script approval where appropriate.
errors-027,errors,How do I handle credential masking not working as expected?,"Use withCredentials or equivalent bindings, avoid command echo of secrets, and confirm masking plugins are active.","Use withCredentials or equivalent bindings, avoid command echo of secrets, and confirm masking plugins are active."
errors-028,errors,What should I check for failing parallel stages?,Inspect each branch logs independently and ensure shared resources are synchronized or isolated.,Inspect each branch logs independently and ensure shared resources are synchronized or isolated.
errors-029,errors,How do I troubleshoot artifacts copied from wrong upstream build?,Set explicit build selectors in copy-artifact configuration instead of broad latest-success defaults.,Set explicit build selectors in copy-artifact configuration instead of broad latest-success defaults.
errors-030,errors,What does 'upstream trigger did not run' usually mean?,Downstream trigger conditions were not met or permissions prevent trigger execution between jobs.,Downstream trigger conditions were not met or permissions prevent trigger execution between jobs.
